2024-07-26 16:42:24,269 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Current SDK version is 0.17.5
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Configure stats pid to 106953
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Loading settings from /teamspace/studios/this_studio/.config/wandb/settings
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Loading settings from /teamspace/studios/this_studio/mlprojectcars/scripts/wandb/settings
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_core': 'true', 'api_key': '***REDACTED***'}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'training.py', 'program_abspath': '/teamspace/studios/this_studio/mlprojectcars/scripts/training.py', 'program': '/teamspace/studios/this_studio/mlprojectcars/scripts/training.py'}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:_log_setup():529] Logging user logs to /teamspace/studios/this_studio/mlprojectcars/scripts/wandb/run-20240726_164224-nlgs6hj6/logs/debug.log
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:_log_setup():530] Logging internal logs to /teamspace/studios/this_studio/mlprojectcars/scripts/wandb/run-20240726_164224-nlgs6hj6/logs/debug-internal.log
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:init():569] calling init triggers
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {'regressor__max_depth': 9, 'regressor__min_samples_leaf': 10, 'regressor__n_estimators': 100, 'model_name': 'Random Forest'}
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:init():619] starting backend
2024-07-26 16:42:24,270 INFO    MainThread:106953 [wandb_init.py:init():623] setting up manager
2024-07-26 16:42:24,271 INFO    MainThread:106953 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-07-26 16:42:24,273 INFO    MainThread:106953 [wandb_init.py:init():631] backend started and connected
2024-07-26 16:42:24,275 INFO    MainThread:106953 [wandb_init.py:init():720] updated telemetry
2024-07-26 16:42:24,275 INFO    MainThread:106953 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-26 16:42:24,476 INFO    MainThread:106953 [wandb_run.py:_on_init():2435] communicating current version
2024-07-26 16:42:24,477 INFO    MainThread:106953 [wandb_run.py:_on_init():2444] got version response 
2024-07-26 16:42:24,477 INFO    MainThread:106953 [wandb_init.py:init():804] starting run threads in backend
2024-07-26 16:42:24,628 INFO    MainThread:106953 [wandb_run.py:_console_start():2413] atexit reg
2024-07-26 16:42:24,629 INFO    MainThread:106953 [wandb_run.py:_redirect():2255] redirect: wrap_raw
2024-07-26 16:42:24,629 INFO    MainThread:106953 [wandb_run.py:_redirect():2320] Wrapping output streams.
2024-07-26 16:42:24,629 INFO    MainThread:106953 [wandb_run.py:_redirect():2345] Redirects installed.
2024-07-26 16:42:24,630 INFO    MainThread:106953 [wandb_init.py:init():847] run started, returning control to user process
2024-07-26 16:42:24,631 INFO    MainThread:106953 [wandb_run.py:_finish():2107] finishing run jdmartinev_/cars_gridsearch_cv_project/nlgs6hj6
2024-07-26 16:42:24,631 INFO    MainThread:106953 [wandb_run.py:_atexit_cleanup():2374] got exitcode: 0
2024-07-26 16:42:24,631 INFO    MainThread:106953 [wandb_run.py:_restore():2352] restore
2024-07-26 16:42:24,631 INFO    MainThread:106953 [wandb_run.py:_restore():2358] restore done
2024-07-26 16:42:26,290 INFO    MainThread:106953 [wandb_run.py:_footer_history_summary_info():4016] rendering history
2024-07-26 16:42:26,291 INFO    MainThread:106953 [wandb_run.py:_footer_history_summary_info():4048] rendering summary
2024-07-26 16:42:26,296 INFO    MainThread:106953 [wandb_run.py:_footer_sync_info():3975] logging synced files
